Start Time, End Time, State, State Name
2020-05-11 09:00:00,2020-05-12 22:00:00,4,Downward Consolidation)
2020-05-12 23:00:00,2020-05-14 15:00:00,1,Bearish Trending)
2020-05-14 16:00:00,2020-05-14 21:00:00,6,Upward Capitulation)
2020-05-14 22:00:00,2020-05-15 01:00:00,1,Bearish Trending)
2020-05-15 02:00:00,2020-05-16 01:00:00,4,Downward Consolidation)
2020-05-16 02:00:00,2020-05-16 13:00:00,1,Bearish Trending)
2020-05-16 14:00:00,2020-05-16 14:00:00,0,Bullish Trending)
2020-05-16 15:00:00,2020-05-18 08:00:00,1,Bearish Trending)
2020-05-18 09:00:00,2020-05-18 21:00:00,6,Upward Capitulation)
2020-05-18 22:00:00,2020-05-19 09:00:00,1,Bearish Trending)
2020-05-19 10:00:00,2020-05-19 15:00:00,4,Downward Consolidation)
2020-05-19 16:00:00,2020-05-20 09:00:00,1,Bearish Trending)
2020-05-20 10:00:00,2020-05-21 04:00:00,3,Upward Consolidation)
2020-05-21 05:00:00,2020-05-21 08:00:00,6,Upward Capitulation)
2020-05-21 09:00:00,2020-05-22 07:00:00,5,Downward Capitulation)
2020-05-22 08:00:00,2020-05-22 13:00:00,2,Sideways Consolidation)
2020-05-22 14:00:00,2020-05-22 15:00:00,0,Bullish Trending)
2020-05-22 16:00:00,2020-05-23 15:00:00,1,Bearish Trending)
2020-05-23 16:00:00,2020-05-24 13:00:00,5,Downward Capitulation)
2020-05-24 14:00:00,2020-05-24 14:00:00,6,Upward Capitulation)
2020-05-24 15:00:00,2020-05-25 03:00:00,5,Downward Capitulation)
2020-05-25 04:00:00,2020-05-25 09:00:00,0,Bullish Trending)
2020-05-25 10:00:00,2020-05-27 07:00:00,1,Bearish Trending)
2020-05-27 08:00:00,2020-05-27 14:00:00,5,Downward Capitulation)
2020-05-27 15:00:00,2020-05-28 05:00:00,3,Upward Consolidation)
2020-05-28 06:00:00,2020-05-28 20:00:00,2,Sideways Consolidation)
2020-05-28 21:00:00,2020-05-30 16:00:00,6,Upward Capitulation)
2020-05-30 17:00:00,2020-05-31 03:00:00,1,Bearish Trending)
2020-05-31 04:00:00,2020-05-31 09:00:00,5,Downward Capitulation)
2020-05-31 10:00:00,2020-05-31 13:00:00,0,Bullish Trending)
2020-05-31 14:00:00,2020-06-01 15:00:00,1,Bearish Trending)
2020-06-01 16:00:00,2020-06-02 05:00:00,5,Downward Capitulation)
2020-06-02 06:00:00,2020-06-02 23:00:00,0,Bullish Trending)
2020-06-03 00:00:00,2020-06-03 07:00:00,5,Downward Capitulation)
2020-06-03 08:00:00,2020-06-03 11:00:00,2,Sideways Consolidation)
2020-06-03 12:00:00,2020-06-04 10:00:00,3,Upward Consolidation)
2020-06-04 11:00:00,2020-06-04 20:00:00,2,Sideways Consolidation)
2020-06-04 21:00:00,2020-06-05 19:00:00,6,Upward Capitulation)
2020-06-05 20:00:00,2020-06-06 14:00:00,4,Downward Consolidation)
2020-06-06 15:00:00,2020-06-06 22:00:00,6,Upward Capitulation)
2020-06-06 23:00:00,2020-06-07 22:00:00,4,Downward Consolidation)
2020-06-07 23:00:00,2020-06-08 01:00:00,1,Bearish Trending)
2020-06-08 02:00:00,2020-06-08 07:00:00,5,Downward Capitulation)
2020-06-08 08:00:00,2020-06-08 09:00:00,0,Bullish Trending)
2020-06-08 10:00:00,2020-06-08 19:00:00,3,Upward Consolidation)
2020-06-08 20:00:00,2020-06-08 23:00:00,0,Bullish Trending)
2020-06-09 00:00:00,2020-06-09 02:00:00,5,Downward Capitulation)
2020-06-09 03:00:00,2020-06-09 07:00:00,3,Upward Consolidation)
2020-06-09 08:00:00,2020-06-09 12:00:00,0,Bullish Trending)
2020-06-09 13:00:00,2020-06-10 21:00:00,1,Bearish Trending)
2020-06-10 22:00:00,2020-06-22 10:00:00,4,Downward Consolidation)
2020-06-22 11:00:00,2020-06-23 06:00:00,1,Bearish Trending)
2020-06-23 07:00:00,2020-06-23 09:00:00,6,Upward Capitulation)
2020-06-23 10:00:00,2020-06-23 17:00:00,1,Bearish Trending)
2020-06-23 18:00:00,2020-06-24 07:00:00,5,Downward Capitulation)
2020-06-24 08:00:00,2020-06-24 11:00:00,0,Bullish Trending)
2020-06-24 12:00:00,2020-06-25 06:00:00,5,Downward Capitulation)
2020-06-25 07:00:00,2020-06-25 09:00:00,6,Upward Capitulation)
2020-06-25 10:00:00,2020-06-25 17:00:00,5,Downward Capitulation)
2020-06-25 18:00:00,2020-06-25 21:00:00,0,Bullish Trending)
2020-06-25 22:00:00,2020-06-26 08:00:00,5,Downward Capitulation)
2020-06-26 09:00:00,2020-06-26 11:00:00,0,Bullish Trending)
2020-06-26 12:00:00,2020-06-27 08:00:00,1,Bearish Trending)
2020-06-27 09:00:00,2020-06-27 14:00:00,0,Bullish Trending)
2020-06-27 15:00:00,2020-06-28 15:00:00,1,Bearish Trending)
2020-06-28 16:00:00,2020-06-29 02:00:00,0,Bullish Trending)
2020-06-29 03:00:00,2020-06-30 19:00:00,4,Downward Consolidation)
2020-06-30 20:00:00,2020-06-30 22:00:00,1,Bearish Trending)
2020-06-30 23:00:00,2020-07-01 05:00:00,5,Downward Capitulation)
2020-07-01 06:00:00,2020-07-01 23:00:00,3,Upward Consolidation)
2020-07-02 00:00:00,2020-07-02 01:00:00,2,Sideways Consolidation)
2020-07-02 02:00:00,2020-07-02 06:00:00,3,Upward Consolidation)
2020-07-02 07:00:00,2020-07-02 09:00:00,0,Bullish Trending)
2020-07-02 10:00:00,2020-07-03 04:00:00,5,Downward Capitulation)
2020-07-03 05:00:00,2020-07-04 04:00:00,6,Upward Capitulation)
2020-07-04 05:00:00,2020-07-04 13:00:00,1,Bearish Trending)
2020-07-04 14:00:00,2020-07-04 18:00:00,6,Upward Capitulation)
2020-07-04 19:00:00,2020-07-05 03:00:00,4,Downward Consolidation)
2020-07-05 04:00:00,2020-07-05 13:00:00,1,Bearish Trending)
2020-07-05 14:00:00,2020-07-06 09:00:00,5,Downward Capitulation)
2020-07-06 10:00:00,2020-07-07 03:00:00,6,Upward Capitulation)
2020-07-07 04:00:00,2020-07-07 21:00:00,4,Downward Consolidation)
2020-07-07 22:00:00,2020-07-08 09:00:00,1,Bearish Trending)
2020-07-08 10:00:00,2020-07-08 19:00:00,5,Downward Capitulation)
2020-07-08 20:00:00,2020-07-09 20:00:00,0,Bullish Trending)
2020-07-09 21:00:00,2020-07-12 07:00:00,1,Bearish Trending)
2020-07-12 08:00:00,2020-07-13 07:00:00,4,Downward Consolidation)
2020-07-13 08:00:00,2020-07-13 10:00:00,1,Bearish Trending)
2020-07-13 11:00:00,2020-07-13 13:00:00,6,Upward Capitulation)
2020-07-13 14:00:00,2020-07-14 02:00:00,4,Downward Consolidation)
2020-07-14 03:00:00,2020-07-14 17:00:00,6,Upward Capitulation)
2020-07-14 18:00:00,2020-07-15 02:00:00,1,Bearish Trending)
2020-07-15 03:00:00,2020-07-15 10:00:00,5,Downward Capitulation)
2020-07-15 11:00:00,2020-07-16 07:00:00,6,Upward Capitulation)
2020-07-16 08:00:00,2020-07-16 21:00:00,1,Bearish Trending)
2020-07-16 22:00:00,2020-07-17 11:00:00,6,Upward Capitulation)
2020-07-17 12:00:00,2020-07-18 10:00:00,4,Downward Consolidation)
2020-07-18 11:00:00,2020-07-19 11:00:00,6,Upward Capitulation)
2020-07-19 12:00:00,2020-07-20 16:00:00,4,Downward Consolidation)
2020-07-20 17:00:00,2020-07-21 08:00:00,1,Bearish Trending)
