Start Time, End Time, State, State Name
2022-05-12 09:00:00,2022-05-12 10:00:00,1,1)
2022-05-12 11:00:00,2022-05-15 15:00:00,2,2)
2022-05-15 16:00:00,2022-05-15 16:00:00,4,4)
2022-05-15 17:00:00,2022-05-16 01:00:00,2,2)
2022-05-16 02:00:00,2022-05-16 02:00:00,4,4)
2022-05-16 03:00:00,2022-05-17 13:00:00,2,2)
2022-05-17 14:00:00,2022-05-17 14:00:00,4,4)
2022-05-17 15:00:00,2022-05-19 08:00:00,2,2)
2022-05-19 09:00:00,2022-05-19 11:00:00,4,4)
2022-05-19 12:00:00,2022-05-20 09:00:00,2,2)
2022-05-20 10:00:00,2022-05-20 12:00:00,4,4)
2022-05-20 13:00:00,2022-05-21 09:00:00,2,2)
2022-05-21 10:00:00,2022-05-22 04:00:00,0,0)
2022-05-22 05:00:00,2022-05-22 06:00:00,6,6)
2022-05-22 07:00:00,2022-05-23 14:00:00,0,0)
2022-05-23 15:00:00,2022-05-23 16:00:00,4,4)
2022-05-23 17:00:00,2022-05-24 08:00:00,1,1)
2022-05-24 09:00:00,2022-05-24 11:00:00,4,4)
2022-05-24 12:00:00,2022-05-24 14:00:00,1,1)
2022-05-24 15:00:00,2022-05-25 00:00:00,6,6)
2022-05-25 01:00:00,2022-05-25 19:00:00,0,0)
2022-05-25 20:00:00,2022-05-25 20:00:00,2,2)
2022-05-25 21:00:00,2022-05-26 03:00:00,0,0)
2022-05-26 04:00:00,2022-05-26 04:00:00,4,4)
2022-05-26 05:00:00,2022-05-26 07:00:00,2,2)
2022-05-26 08:00:00,2022-05-26 10:00:00,4,4)
2022-05-26 11:00:00,2022-05-26 23:00:00,2,2)
2022-05-27 00:00:00,2022-05-27 03:00:00,1,1)
2022-05-27 04:00:00,2022-05-27 07:00:00,6,6)
2022-05-27 08:00:00,2022-05-27 12:00:00,1,1)
2022-05-27 13:00:00,2022-05-27 13:00:00,4,4)
2022-05-27 14:00:00,2022-05-28 09:00:00,2,2)
2022-05-28 10:00:00,2022-05-29 17:00:00,0,0)
2022-05-29 18:00:00,2022-05-30 15:00:00,6,6)
2022-05-30 16:00:00,2022-05-30 17:00:00,4,4)
2022-05-30 18:00:00,2022-05-31 16:00:00,1,1)
2022-05-31 17:00:00,2022-05-31 23:00:00,6,6)
2022-06-01 00:00:00,2022-06-01 09:00:00,0,0)
2022-06-01 10:00:00,2022-06-01 16:00:00,4,4)
2022-06-01 17:00:00,2022-06-02 09:00:00,1,1)
2022-06-02 10:00:00,2022-06-02 18:00:00,6,6)
2022-06-02 19:00:00,2022-06-03 07:00:00,0,0)
2022-06-03 08:00:00,2022-06-03 18:00:00,6,6)
2022-06-03 19:00:00,2022-06-05 19:00:00,0,0)
2022-06-05 20:00:00,2022-06-06 19:00:00,6,6)
2022-06-06 20:00:00,2022-06-06 21:00:00,4,4)
2022-06-06 22:00:00,2022-06-07 14:00:00,1,1)
2022-06-07 15:00:00,2022-06-07 16:00:00,4,4)
2022-06-07 17:00:00,2022-06-07 17:00:00,1,1)
2022-06-07 18:00:00,2022-06-07 18:00:00,4,4)
2022-06-07 19:00:00,2022-06-09 08:00:00,2,2)
2022-06-09 09:00:00,2022-06-10 11:00:00,0,0)
2022-06-10 12:00:00,2022-06-11 09:00:00,6,6)
2022-06-11 10:00:00,2022-06-11 11:00:00,1,1)
2022-06-11 12:00:00,2022-06-11 21:00:00,6,6)
2022-06-11 22:00:00,2022-06-11 22:00:00,4,4)
2022-06-11 23:00:00,2022-06-12 09:00:00,1,1)
2022-06-12 10:00:00,2022-06-12 11:00:00,4,4)
2022-06-12 12:00:00,2022-06-12 19:00:00,1,1)
2022-06-12 20:00:00,2022-06-12 23:00:00,4,4)
2022-06-13 00:00:00,2022-06-13 02:00:00,1,1)
2022-06-13 03:00:00,2022-06-13 05:00:00,4,4)
2022-06-13 06:00:00,2022-06-13 20:00:00,1,1)
2022-06-13 21:00:00,2022-06-13 21:00:00,4,4)
2022-06-13 22:00:00,2022-06-14 10:00:00,1,1)
2022-06-14 11:00:00,2022-06-15 02:00:00,2,2)
2022-06-15 03:00:00,2022-06-15 06:00:00,4,4)
2022-06-15 07:00:00,2022-06-15 13:00:00,2,2)
2022-06-15 14:00:00,2022-06-15 14:00:00,4,4)
2022-06-15 15:00:00,2022-06-18 01:00:00,2,2)
2022-06-18 02:00:00,2022-06-18 04:00:00,4,4)
2022-06-18 05:00:00,2022-06-18 12:00:00,2,2)
2022-06-18 13:00:00,2022-06-18 17:00:00,4,4)
2022-06-18 18:00:00,2022-06-21 08:00:00,2,2)
2022-06-21 09:00:00,2022-06-21 10:00:00,4,4)
2022-06-21 11:00:00,2022-06-22 08:00:00,2,2)
2022-06-22 09:00:00,2022-06-22 12:00:00,4,4)
2022-06-22 13:00:00,2022-06-24 19:00:00,2,2)
2022-06-24 20:00:00,2022-06-24 20:00:00,0,0)
2022-06-24 21:00:00,2022-06-25 04:00:00,2,2)
2022-06-25 05:00:00,2022-06-27 08:00:00,0,0)
2022-06-27 09:00:00,2022-06-27 10:00:00,4,4)
2022-06-27 11:00:00,2022-06-27 18:00:00,2,2)
2022-06-27 19:00:00,2022-06-27 19:00:00,0,0)
