HMM State Metrics (Train & OOS) - Evaluated on: 2025-05-16 16:02:32
Features used: Volatility, RSI, ATR, Volume_Change
Covariance type: full

 Num_States  Train_LogLikelihood    Train_BIC  OOS_LogLikelihood      OOS_BIC  Converged
          2         -6768.504265 13678.757845       -4267.979933  8661.614165       True
          3         -6119.386516 12477.508722       -4155.655173  8522.938642       True
          4         -5214.001978 10778.647000       -4321.596420  8954.021898       True
          5         -4602.133624  9681.738628       -4206.795987  8836.848565       True
          6         -4515.532480  9650.285656       -3340.689382  7230.289653       True
          7         -4263.991482  9303.873956       -5667.582831 12022.957620       True
          8         -4241.903896  9431.290061       -3931.129019  8702.157833       True
          9         -3577.665927  8289.326380       -3870.038089  8745.310579       True
         10         -3282.734243  7900.896251       -4975.187144 11134.170062       True
         11         -3059.764645  7671.311274       -5265.716954 11907.017826       True
         12         -3070.641006  7924.339195       -5252.695425 12085.989678       True
         13         -2875.886512  7781.026388       -5699.649465 13198.139437       True
         14         -2928.012157  8146.394839       -4961.353728 11953.016411       True
         15         -2966.754300  8499.917264       -4474.499847 11224.003864       True
