Start Time, End Time, State, State Name
2015-06-30 00:00:00,2015-07-07 00:00:00,3,3)
2015-07-08 00:00:00,2015-07-17 00:00:00,0,0)
2015-07-20 00:00:00,2015-07-23 00:00:00,5,5)
2015-07-24 00:00:00,2015-07-27 00:00:00,6,6)
2015-07-28 00:00:00,2015-08-11 00:00:00,4,4)
2015-08-12 00:00:00,2015-08-12 00:00:00,6,6)
2015-08-13 00:00:00,2015-08-13 00:00:00,4,4)
2015-08-14 00:00:00,2015-08-17 00:00:00,0,0)
2015-08-18 00:00:00,2015-08-18 00:00:00,4,4)
2015-08-19 00:00:00,2015-08-20 00:00:00,6,6)
2015-08-21 00:00:00,2015-08-21 00:00:00,2,2)
2015-08-24 00:00:00,2015-08-28 00:00:00,3,3)
2015-08-31 00:00:00,2015-09-18 00:00:00,0,0)
2015-09-21 00:00:00,2015-09-22 00:00:00,5,5)
2015-09-23 00:00:00,2015-10-05 00:00:00,4,4)
2015-10-06 00:00:00,2015-10-14 00:00:00,5,5)
2015-10-15 00:00:00,2015-10-15 00:00:00,0,0)
2015-10-16 00:00:00,2015-10-22 00:00:00,5,5)
2015-10-23 00:00:00,2015-10-23 00:00:00,0,0)
2015-10-26 00:00:00,2015-10-30 00:00:00,5,5)
2015-11-02 00:00:00,2015-11-06 00:00:00,4,4)
2015-11-09 00:00:00,2015-11-20 00:00:00,2,2)
2015-11-23 00:00:00,2015-12-02 00:00:00,1,1)
2015-12-03 00:00:00,2015-12-07 00:00:00,2,2)
2015-12-08 00:00:00,2015-12-23 00:00:00,3,3)
2015-12-24 00:00:00,2015-12-30 00:00:00,0,0)
2015-12-31 00:00:00,2015-12-31 00:00:00,4,4)
2016-01-04 00:00:00,2016-01-04 00:00:00,6,6)
2016-01-05 00:00:00,2016-01-05 00:00:00,4,4)
2016-01-06 00:00:00,2016-01-06 00:00:00,1,1)
2016-01-07 00:00:00,2016-01-14 00:00:00,3,3)
2016-01-15 00:00:00,2016-01-20 00:00:00,6,6)
2016-01-21 00:00:00,2016-01-21 00:00:00,4,4)
2016-01-22 00:00:00,2016-02-04 00:00:00,0,0)
2016-02-05 00:00:00,2016-02-18 00:00:00,4,4)
2016-02-19 00:00:00,2016-02-19 00:00:00,0,0)
2016-02-22 00:00:00,2016-03-16 00:00:00,5,5)
2016-03-17 00:00:00,2016-03-24 00:00:00,4,4)
2016-03-28 00:00:00,2016-04-05 00:00:00,1,1)
2016-04-06 00:00:00,2016-04-08 00:00:00,2,2)
2016-04-11 00:00:00,2016-04-12 00:00:00,1,1)
2016-04-13 00:00:00,2016-04-13 00:00:00,2,2)
2016-04-14 00:00:00,2016-04-15 00:00:00,1,1)
2016-04-18 00:00:00,2016-04-19 00:00:00,6,6)
2016-04-20 00:00:00,2016-04-21 00:00:00,4,4)
2016-04-22 00:00:00,2016-04-22 00:00:00,6,6)
2016-04-25 00:00:00,2016-04-27 00:00:00,1,1)
2016-04-28 00:00:00,2016-05-04 00:00:00,2,2)
2016-05-05 00:00:00,2016-05-11 00:00:00,1,1)
2016-05-12 00:00:00,2016-05-24 00:00:00,3,3)
2016-05-25 00:00:00,2016-05-31 00:00:00,0,0)
2016-06-01 00:00:00,2016-06-10 00:00:00,5,5)
2016-06-13 00:00:00,2016-06-23 00:00:00,1,1)
2016-06-24 00:00:00,2016-06-27 00:00:00,2,2)
2016-06-28 00:00:00,2016-06-30 00:00:00,3,3)
2016-07-01 00:00:00,2016-07-14 00:00:00,0,0)
2016-07-15 00:00:00,2016-07-20 00:00:00,5,5)
2016-07-21 00:00:00,2016-07-21 00:00:00,0,0)
2016-07-22 00:00:00,2016-07-27 00:00:00,4,4)
2016-07-28 00:00:00,2016-08-15 00:00:00,1,1)
2016-08-16 00:00:00,2016-08-18 00:00:00,2,2)
2016-08-19 00:00:00,2016-08-24 00:00:00,1,1)
2016-08-25 00:00:00,2016-08-30 00:00:00,2,2)
2016-08-31 00:00:00,2016-09-08 00:00:00,1,1)
2016-09-09 00:00:00,2016-09-09 00:00:00,2,2)
2016-09-12 00:00:00,2016-09-21 00:00:00,3,3)
2016-09-22 00:00:00,2016-10-06 00:00:00,0,0)
2016-10-07 00:00:00,2016-10-31 00:00:00,4,4)
2016-11-01 00:00:00,2016-11-03 00:00:00,1,1)
2016-11-04 00:00:00,2016-11-04 00:00:00,6,6)
2016-11-07 00:00:00,2016-11-11 00:00:00,0,0)
2016-11-14 00:00:00,2016-11-14 00:00:00,5,5)
2016-11-15 00:00:00,2016-11-15 00:00:00,0,0)
2016-11-16 00:00:00,2016-11-16 00:00:00,5,5)
2016-11-17 00:00:00,2016-11-23 00:00:00,0,0)
2016-11-25 00:00:00,2016-11-25 00:00:00,5,5)
2016-11-28 00:00:00,2016-11-28 00:00:00,0,0)
2016-11-29 00:00:00,2016-12-12 00:00:00,4,4)
2016-12-13 00:00:00,2016-12-20 00:00:00,6,6)
2016-12-21 00:00:00,2016-12-27 00:00:00,1,1)
2016-12-28 00:00:00,2017-01-05 00:00:00,2,2)
2017-01-06 00:00:00,2017-01-20 00:00:00,1,1)
2017-01-23 00:00:00,2017-01-24 00:00:00,2,2)
2017-01-25 00:00:00,2017-01-30 00:00:00,6,6)
2017-01-31 00:00:00,2017-02-08 00:00:00,1,1)
2017-02-09 00:00:00,2017-02-14 00:00:00,6,6)
2017-02-15 00:00:00,2017-02-15 00:00:00,0,0)
2017-02-16 00:00:00,2017-02-22 00:00:00,5,5)
2017-02-23 00:00:00,2017-02-28 00:00:00,4,4)
2017-03-01 00:00:00,2017-03-03 00:00:00,6,6)
2017-03-06 00:00:00,2017-03-13 00:00:00,2,2)
2017-03-14 00:00:00,2017-03-14 00:00:00,1,1)
2017-03-15 00:00:00,2017-03-28 00:00:00,2,2)
2017-03-29 00:00:00,2017-04-13 00:00:00,1,1)
2017-04-17 00:00:00,2017-04-18 00:00:00,3,3)
2017-04-19 00:00:00,2017-04-19 00:00:00,4,4)
2017-04-20 00:00:00,2017-04-28 00:00:00,0,0)
2017-05-01 00:00:00,2017-05-08 00:00:00,5,5)
2017-05-09 00:00:00,2017-05-09 00:00:00,6,6)
2017-05-10 00:00:00,2017-05-15 00:00:00,4,4)
2017-05-16 00:00:00,2017-05-16 00:00:00,1,1)
2017-05-17 00:00:00,2017-05-19 00:00:00,2,2)
2017-05-22 00:00:00,2017-05-23 00:00:00,3,3)
2017-05-24 00:00:00,2017-05-30 00:00:00,4,4)
2017-05-31 00:00:00,2017-06-08 00:00:00,6,6)
2017-06-09 00:00:00,2017-06-09 00:00:00,4,4)
2017-06-12 00:00:00,2017-06-12 00:00:00,6,6)
2017-06-13 00:00:00,2017-06-21 00:00:00,1,1)
2017-06-22 00:00:00,2017-06-28 00:00:00,2,2)
2017-06-29 00:00:00,2017-07-13 00:00:00,3,3)
2017-07-14 00:00:00,2017-07-17 00:00:00,0,0)
2017-07-18 00:00:00,2017-07-31 00:00:00,5,5)
2017-08-01 00:00:00,2017-08-09 00:00:00,1,1)
2017-08-10 00:00:00,2017-08-11 00:00:00,2,2)
2017-08-14 00:00:00,2017-08-30 00:00:00,3,3)
2017-08-31 00:00:00,2017-09-07 00:00:00,0,0)
2017-09-08 00:00:00,2017-09-26 00:00:00,5,5)
2017-09-27 00:00:00,2017-09-27 00:00:00,6,6)
2017-09-28 00:00:00,2017-09-28 00:00:00,4,4)
2017-09-29 00:00:00,2017-10-11 00:00:00,5,5)
2017-10-12 00:00:00,2017-10-16 00:00:00,1,1)
2017-10-17 00:00:00,2017-10-18 00:00:00,2,2)
2017-10-19 00:00:00,2017-10-20 00:00:00,1,1)
