Metric,Value
Start,2015-06-30 00:00:00
End,2025-05-13 00:00:00
Duration,3605 days 00:00:00
Exposure Time [%],36.61
Equity Final [$],229592.52
Equity Peak [$],230388.60
Return [%],129.59
Buy & Hold Return [%],185.36
Return (Ann.) [%],8.80
Volatility (Ann.) [%],8.91
Sharpe Ratio,0.99
Sortino Ratio,1.70
Calmar Ratio,0.70
Max. Drawdown [%],-12.54
Avg. Drawdown [%],-1.76
Max. Drawdown Duration,679 days 00:00:00
Total Trades,605
Win Rate [%],56.03
Best Trade [%],5.53
Worst Trade [%],-5.03
Avg. Trade [%],0.17
Profit Factor,1.39
Expectancy [%],0.19
