Metric,Value
Start,2015-06-30 00:00:00
End,2025-05-13 00:00:00
Duration,3605 days 00:00:00
Exposure Time [%],97.46
Equity Final [$],37113.14
Equity Peak [$],104698.23
Return [%],-62.89
Buy & Hold Return [%],185.36
Return (Ann.) [%],-9.57
Volatility (Ann.) [%],14.23
Sharpe Ratio,-0.67
Sortino Ratio,-0.85
Calmar Ratio,-0.14
Max. Drawdown [%],-67.05
Avg. Drawdown [%],-36.57
Max. Drawdown Duration,3549 days 00:00:00
Total Trades,402
Win Rate [%],36.57
Best Trade [%],12.14
Worst Trade [%],-7.23
Avg. Trade [%],-0.28
Profit Factor,0.75
Expectancy [%],-0.24
